date,midprice,callput,ttm,spxclose,r,q,strike
31/12/2009,553.45001,0,273,1115.1,0.40799499,2.0682471,550
31/12/2009,504.95001,0,273,1115.1,0.40799499,2.0682471,600
31/12/2009,456.70001,0,273,1115.1,0.40799499,2.0682471,650
31/12/2009,616,0,0,1115.1,,2.0682471,500
31/12/2009,566,0,0,1115.1,,2.0682471,550
31/12/2009,516,0,0,1115.1,,2.0682471,600
31/12/2009,466,0,0,1115.1,,2.0682471,650
31/12/2009,0.22500001,1,90,1115.1,0.261729,2.0682471,500
31/12/2009,0.27500001,1,90,1115.1,0.261729,2.0682471,550
31/12/2009,0.27500001,1,90,1115.1,0.261729,2.0682471,600
31/12/2009,0.42499998,1,90,1115.1,0.261729,2.0682471,650
31/12/2009,0.52499998,1,181,1115.1,0.31028801,2.0682471,500
31/12/2009,0.97500002,1,181,1115.1,0.31028801,2.0682471,550
31/12/2009,1.575,1,181,1115.1,0.31028801,2.0682471,600
31/12/2009,2.5250001,1,181,1115.1,0.31028801,2.0682471,650
31/12/2009,1.525,1,273,1115.1,0.40799499,2.0682471,500
31/12/2009,2.375,1,273,1115.1,0.40799499,2.0682471,550
31/12/2009,3.8,1,273,1115.1,0.40799499,2.0682471,600
31/12/2009,5.5500002,1,273,1115.1,0.40799499,2.0682471,650
31/12/2009,0.025,1,0,1115.1,,2.0682471,500
31/12/2009,0.025,1,0,1115.1,,2.0682471,550
31/12/2009,0.025,1,0,1115.1,,2.0682471,600
31/12/2009,0.025,1,0,1115.1,,2.0682471,650
31/12/2009,411.90002,0,90,1115.1,0.261729,2.0682471,700
31/12/2009,362.5,0,90,1115.1,0.261729,2.0682471,750
31/12/2009,313.64999,0,90,1115.1,0.261729,2.0682471,800
31/12/2009,265.09998,0,90,1115.1,0.261729,2.0682471,850
31/12/2009,409.65002,0,181,1115.1,0.31028801,2.0682471,700
31/12/2009,361.79999,0,181,1115.1,0.31028801,2.0682471,750
31/12/2009,314.5,0,181,1115.1,0.31028801,2.0682471,800
31/12/2009,268.54999,0,181,1115.1,0.31028801,2.0682471,850
31/12/2009,409.5,0,273,1115.1,0.40799499,2.0682471,700
31/12/2009,362.95001,0,273,1115.1,0.40799499,2.0682471,750
31/12/2009,317.65002,0,273,1115.1,0.40799499,2.0682471,800
31/12/2009,273.75,0,273,1115.1,0.40799499,2.0682471,850
31/12/2009,291,0,0,1115.1,,2.0682471,825
31/12/2009,391,0,0,1115.1,,2.0682471,725
31/12/2009,416,0,0,1115.1,,2.0682471,700
31/12/2009,366,0,0,1115.1,,2.0682471,750
31/12/2009,316,0,0,1115.1,,2.0682471,800
31/12/2009,266,0,0,1115.1,,2.0682471,850
31/12/2009,241,0,0,1115.1,,2.0682471,875
31/12/2009,0.82499999,1,90,1115.1,0.261729,2.0682471,700
31/12/2009,1.325,1,90,1115.1,0.261729,2.0682471,750
31/12/2009,2.3499999,1,90,1115.1,0.261729,2.0682471,800
31/12/2009,3.75,1,90,1115.1,0.261729,2.0682471,850
31/12/2009,3.8,1,181,1115.1,0.31028801,2.0682471,700
31/12/2009,5.8500004,1,181,1115.1,0.31028801,2.0682471,750
31/12/2009,8.6499996,1,181,1115.1,0.31028801,2.0682471,800
31/12/2009,12.450001,1,181,1115.1,0.31028801,2.0682471,850
31/12/2009,8.1499996,1,273,1115.1,0.40799499,2.0682471,700
31/12/2009,11.549999,1,273,1115.1,0.40799499,2.0682471,750
31/12/2009,15.85,1,273,1115.1,0.40799499,2.0682471,800
31/12/2009,21.700001,1,273,1115.1,0.40799499,2.0682471,850
31/12/2009,0.025,1,0,1115.1,,2.0682471,825
31/12/2009,0.025,1,0,1115.1,,2.0682471,725
31/12/2009,0.025,1,0,1115.1,,2.0682471,700
31/12/2009,0.025,1,0,1115.1,,2.0682471,750
31/12/2009,0.025,1,0,1115.1,,2.0682471,800
31/12/2009,0.025,1,0,1115.1,,2.0682471,850
31/12/2009,0.025,1,0,1115.1,,2.0682471,875
31/12/2009,0.22500001,0,90,1115.1,0.261729,2.0682471,1350
31/12/2009,0.85000002,0,90,1115.1,0.261729,2.0682471,1300
31/12/2009,2.625,0,181,1115.1,0.31028801,2.0682471,1350
31/12/2009,6.4000001,0,181,1115.1,0.31028801,2.0682471,1300
31/12/2009,8.1000004,0,273,1115.1,0.40799499,2.0682471,1350
31/12/2009,15,0,273,1115.1,0.40799499,2.0682471,1300
31/12/2009,0.025,0,0,1115.1,,2.0682471,1350
31/12/2009,0.025,0,0,1115.1,,2.0682471,1300
31/12/2009,238.60001,1,90,1115.1,0.261729,2.0682471,1350
31/12/2009,189.3,1,90,1115.1,0.261729,2.0682471,1300
31/12/2009,245.75,1,181,1115.1,0.31028801,2.0682471,1350
31/12/2009,199.64999,1,181,1115.1,0.31028801,2.0682471,1300
31/12/2009,254.64999,1,273,1115.1,0.40799499,2.0682471,1350
31/12/2009,211.64999,1,273,1115.1,0.40799499,2.0682471,1300
31/12/2009,234,1,0,1115.1,,2.0682471,1350
31/12/2009,184,1,0,1115.1,,2.0682471,1300
31/12/2009,0.125,0,90,1115.1,0.261729,2.0682471,1450
31/12/2009,0.175,0,90,1115.1,0.261729,2.0682471,1400
31/12/2009,0.375,0,181,1115.1,0.31028801,2.0682471,1450
31/12/2009,0.97500002,0,181,1115.1,0.31028801,2.0682471,1400
31/12/2009,1.925,0,273,1115.1,0.40799499,2.0682471,1450
31/12/2009,4.0500002,0,273,1115.1,0.40799499,2.0682471,1400
31/12/2009,0.025,0,0,1115.1,,2.0682471,1450
31/12/2009,0.025,0,0,1115.1,,2.0682471,1400
31/12/2009,338.29999,1,90,1115.1,0.261729,2.0682471,1450
31/12/2009,288.39999,1,90,1115.1,0.261729,2.0682471,1400
31/12/2009,343.34998,1,181,1115.1,0.31028801,2.0682471,1450
31/12/2009,294.09998,1,181,1115.1,0.31028801,2.0682471,1400
31/12/2009,348.04999,1,273,1115.1,0.40799499,2.0682471,1450
31/12/2009,300.54999,1,273,1115.1,0.40799499,2.0682471,1400
31/12/2009,334,1,0,1115.1,,2.0682471,1450
31/12/2009,284,1,0,1115.1,,2.0682471,1400
31/12/2009,0.025,0,0,1115.1,,2.0682471,1600
31/12/2009,484,1,0,1115.1,,2.0682471,1600
31/12/2009,27.549999,0,79,1115.1,0.270356,2.0682471,1140
31/12/2009,25.35,0,79,1115.1,0.270356,2.0682471,1145
31/12/2009,23.25,0,79,1115.1,0.270356,2.0682471,1150
31/12/2009,21.25,0,79,1115.1,0.270356,2.0682471,1155
31/12/2009,19.35,0,79,1115.1,0.270356,2.0682471,1160
31/12/2009,17.549999,0,79,1115.1,0.270356,2.0682471,1165
31/12/2009,15.85,0,79,1115.1,0.270356,2.0682471,1170
31/12/2009,14.35,0,79,1115.1,0.270356,2.0682471,1175
31/12/2009,13.1,0,79,1115.1,0.270356,2.0682471,1180
31/12/2009,11.549999,0,79,1115.1,0.270356,2.0682471,1185
31/12/2009,10.3,0,79,1115.1,0.270356,2.0682471,1190
31/12/2009,9.2999992,0,79,1115.1,0.270356,2.0682471,1195
31/12/2009,49.300003,0,79,1115.1,0.270356,2.0682471,1100
31/12/2009,42.699997,0,107,1115.1,0.29705501,2.0682471,1125
31/12/2009,30.65,0,107,1115.1,0.29705501,2.0682471,1150
31/12/2009,26.450001,0,107,1115.1,0.29705501,2.0682471,1160
31/12/2009,22.65,0,107,1115.1,0.29705501,2.0682471,1170
31/12/2009,20.950001,0,107,1115.1,0.29705501,2.0682471,1175
31/12/2009,19.25,0,107,1115.1,0.29705501,2.0682471,1180
31/12/2009,16.15,0,107,1115.1,0.29705501,2.0682471,1190
31/12/2009,56.900002,0,107,1115.1,0.29705501,2.0682471,1100
31/12/2009,431.64999,0,1087,1115.1,1.823215,2.0682471,700
31/12/2009,509.15002,0,1087,1115.1,1.823215,2.0682471,600
31/12/2009,56.75,0,170,1115.1,0.32370001,2.0682471,1125
31/12/2009,54.199997,0,170,1115.1,0.32370001,2.0682471,1130
31/12/2009,245.85001,0,1087,1115.1,1.823215,2.0682471,975
31/12/2009,44.550003,0,170,1115.1,0.32370001,2.0682471,1150
31/12/2009,40.099998,0,170,1115.1,0.32370001,2.0682471,1160
31/12/2009,35.949997,0,170,1115.1,0.32370001,2.0682471,1170
31/12/2009,34,0,170,1115.1,0.32370001,2.0682471,1175
31/12/2009,32.099998,0,170,1115.1,0.32370001,2.0682471,1180
31/12/2009,28.450001,0,170,1115.1,0.32370001,2.0682471,1190
31/12/2009,260.95001,0,1087,1115.1,1.823215,2.0682471,950
31/12/2009,590.75,0,1087,1115.1,1.823215,2.0682471,500
31/12/2009,70.449997,0,170,1115.1,0.32370001,2.0682471,1100
31/12/2009,72.300003,0,261,1115.1,0.45323801,2.0682471,1125
31/12/2009,549.45001,0,1087,1115.1,1.823215,2.0682471,550
31/12/2009,359.04999,0,1087,1115.1,1.823215,2.0682471,800
31/12/2009,60.099998,0,261,1115.1,0.45323801,2.0682471,1150
31/12/2009,49.050003,0,261,1115.1,0.45323801,2.0682471,1175
31/12/2009,469.85001,0,1087,1115.1,1.823215,2.0682471,650
31/12/2009,86,0,261,1115.1,0.45323801,2.0682471,1100
31/12/2009,394.75,0,1087,1115.1,1.823215,2.0682471,750
31/12/2009,324.75,0,1087,1115.1,1.823215,2.0682471,850
31/12/2009,341.75,0,1087,1115.1,1.823215,2.0682471,825
31/12/2009,291.95001,0,1087,1115.1,1.823215,2.0682471,900
31/12/2009,85.5,0,352,1115.1,0.565162,2.0682471,1125
31/12/2009,308.14999,0,1087,1115.1,1.823215,2.0682471,875
31/12/2009,73.199997,0,352,1115.1,0.565162,2.0682471,1150
31/12/2009,276.25,0,1087,1115.1,1.823215,2.0682471,925
31/12/2009,47.25,1,1087,1115.1,1.823215,2.0682471,700
31/12/2009,30.700001,1,1087,1115.1,1.823215,2.0682471,600
31/12/2009,120.55,1,1087,1115.1,1.823215,2.0682471,975
31/12/2009,62,0,352,1115.1,0.565162,2.0682471,1175
31/12/2009,111.95,1,1087,1115.1,1.823215,2.0682471,950
31/12/2009,98.900002,0,352,1115.1,0.565162,2.0682471,1100
31/12/2009,18.200001,1,1087,1115.1,1.823215,2.0682471,500
